,Time,User,Tweet
0,2022-10-07 14:30:02+00:00,java,Did you know your #JavaOne registration includes free access to courses and up to three certification attempts? Get… https://t.co/YGkViv4Sxf
1,2022-10-07 14:11:05+00:00,elonmusk,"In case you missed Tesla AI Day 2022
https://t.co/Sbu0peXpY1"
2,2022-10-07 06:53:11+00:00,elonmusk,SpaceX Dragon docking with @Space_Station (extended video) https://t.co/AFBDKHddgI
3,2022-10-07 00:46:02+00:00,natalietran,"sending in covid rat tests for work and decided to see if anyone would reply if I did this. 
answer: no https://t.co/wnsALN1zrQ"
4,2022-10-06 23:52:27+00:00,elonmusk,500 mile range &amp; super fun to drive
5,2022-10-06 23:50:57+00:00,elonmusk,Excited to announce start of production of Tesla Semi Truck with deliveries to @Pepsi on Dec 1st! https://t.co/gq0l73iGRW
6,2022-10-06 22:47:28+00:00,bobuk,"Да, вот и подтверждение от Binance, говорят что все фонды в порядке https://t.co/YKteRy8T56"
7,2022-10-06 22:25:13+00:00,bobuk,"С утра будет более понятно, но кажется кто-то сегодня ночью повеселился и взломал сеть Binance BNB. Веселая будет ночка…"
8,2022-10-06 19:54:23+00:00,elonmusk,Video https://t.co/9gUJv2V143
9,2022-10-06 16:12:27+00:00,elonmusk,Starlink view of 2nd stage deorbit burn https://t.co/kbLv95bAK7
10,2022-10-06 15:02:46+00:00,java,"RT @nipafx: void main() {
    println(""Hello, world!"");
}

Latest Inside Java Newscast goes into the proposed on-ramp ☝️ that requires prog…"
11,2022-10-06 04:37:25+00:00,elonmusk,War is the ultimate Supreme Court
12,2022-10-06 01:21:12+00:00,elonmusk,"Another batch of Starlinks in orbit, 7 hours after the astronaut launch https://t.co/mQshEY16RP"
13,2022-10-05 15:05:02+00:00,java,"In the latest edition of the Inside Java Newscast, we'll go over tools from JFR to JMC, web servers like Jetty and… https://t.co/IGqEuqzrfp"
14,2022-10-04 22:39:41+00:00,elonmusk,"Buying Twitter is an accelerant to creating X, the everything app"
15,2022-10-04 15:00:30+00:00,java,"Java content is front &amp; center at #JavaOne! @mraible previews his ""Micro Frontends for Java Developers"" session hap… https://t.co/IWgb63bTwF"
16,2022-10-04 06:26:24+00:00,natalietran,RT @elfy_scott: I wrote a book and now I have the proofs!!! They are hilariously heavy because apparently there’s a book paper shortage (wh…
17,2022-10-03 17:55:05+00:00,elonmusk,Let’s try this then: the will of the people who live in the Donbas &amp; Crimea should decide whether they’re part of Russia or Ukraine
18,2022-10-03 16:53:34+00:00,java,"RT @BillyKorando: Hey #Java Developers, ☕️

It's your Monday #SipOfJava!

Collecting some sensitive data you'd rather not share when using…"
